height,valset,timestamp
1,2b53a886a7e8f46e48bdce6229625845512b92b7,2022-11-11 14:48:30
214,79188c9fb2090faf54178f822ac8e657ff026583,2022-11-11 14:52:22
260,c9ca46690aef007f6f642ea1bb181211f5b42366,2022-11-11 15:08:06
447,2cd0da06b15c9c5c31db7fb81b13b2ae277f5622,2022-11-11 15:08:11
448,aa620740acb38db9950fb6a83f4b6a89e35b7ea1,2022-11-11 15:16:16
544,aae9acaa31f5d7445331df51265d37bd03705abc,2022-11-11 15:44:13
876,bc3c50c5e08f84f43e70045f210f7b81543e6031,2022-11-11 15:50:16
948,433d1a3e61f5ff9f41025d7657f94f4a7b4e3eb0,2022-11-11 15:50:21
949,60c7eb2f19bde4f29f7eb5c6eb1e967647651924,2022-11-11 15:51:17
960,41fbaea83244de98d5f5d1795687cac393fd723a,2022-11-11 15:54:09
994,5c1b8db4a8e68cef83d733c44066c79be63255c0,2022-11-11 16:04:19
1115,69bb74ac83dc3b22608534f5ea093a1fe825fcd0,2022-11-11 16:18:02
1278,854d292c55cd87525b0017692edb17f44deb16f7,2022-11-11 16:20:23
1306,abc2eb5dbca6632c666ee403ad25dd5804913192,2022-11-11 16:23:25
1342,f26c19c7df8915648f0cf466107bb1fabf28ed6e,2022-11-11 16:26:27
1378,5069e1b4f840712028a7b47bf4b6b36deb135a9d,2022-11-11 16:29:30
1414,91ba481a882632ec8adbf98f813829079aaf4155,2022-11-11 16:29:50
1418,570fc79167c2226e56ce57e9077a6ae731fdee74,2022-11-11 16:30:50
1430,0880c643726cb54cf3434dbb174fde6a8e181aba,2022-11-11 16:34:07
1469,e0f2b687fe75dcd5720417822037257a9b79bf89,2022-11-11 16:35:28
1485,19cada99744a635c1a67aea5db76a17f5e94363b,2022-11-11 16:38:30
1521,940ad5dc165d31e6b4f5d25c0386c0e5aa739274,2022-11-11 16:41:32
1557,18d4455478ba15dc98afcf9ec24f15d42f035077,2022-11-11 16:44:33
1593,a9938b1cd87f13d81c46fbb015beedd3aff6f182,2022-11-11 16:49:37
1653,5abf0d228c39bdf95be76d21020b9b214184c2ef,2022-11-11 16:50:38
1665,65fadc55b5f3f81e37086b0e72c64a4978ef1c25,2022-11-11 16:53:39
1701,828850554a6b58b43a51c5a4bd5b2b05c1b613eb,2022-11-11 16:56:41
1737,0421e6147ad92c809812e74b39412cb899b821ab,2022-11-11 16:59:38
1772,b88582b29911c83c0cdd24a3c6be17d4da2c9af6,2022-11-11 17:05:46
1845,0a83b3e3353cb9603e5a6b6bf5ed7c63e15f79f2,2022-11-11 17:08:48
1881,f666aacc3644582bda842cd53579c6760433dccf,2022-11-11 17:11:50
1917,e983dbbc1fc31c1d9d05271b0089ced5086188f2,2022-11-11 17:14:52
1953,bf5867c87257c41f25c811f2b664e8e180e5418e,2022-11-11 17:20:55
2025,6cf5194fe829344fe7c96cbc1a0db053faf057fe,2022-11-11 17:23:52
2060,a24791427c5d0c0c51743251db4ebe2a984a27ca,2022-11-11 17:26:54
2096,db4423c5767f904dc64fb93d8d063d6c2658ac3a,2022-11-11 17:29:56
2132,d1f69611736bc02bf6804dfa3eb8d284f7ec1b22,2022-11-11 17:36:00
2204,de32c9a58beea152f1cff1a74bf1a8bf24af433a,2022-11-11 17:39:01
2240,c89cc0f988ed934d746ff1c9da8436d6a43b2900,2022-11-11 17:42:03
2276,4a989d65c228b3d6872d4305c1b6be995c0851a4,2022-11-11 17:44:19
2303,5975066df209c903e9deac0a0b13e0d83560654c,2022-11-11 17:45:05
2312,598d575d24914e9fbdedbcce6ebcead90331ed2d,2022-11-11 17:51:03
2383,2450a118617f7f586da4f1b2c323da935b67f324,2022-11-11 17:54:05
2419,68f50db61060376b2975047f47b6a14c3b2bd484,2022-11-11 17:57:12
2456,cde253efaa62c1b95950164570fa86e945f980b5,2022-11-11 18:03:15
2528,4b7ec4ad86bb0e530a5a04834d28624ec50a749c,2022-11-11 18:06:17
2564,e14bc348d1e5ed07497d0dde4e3a3d2e542e9866,2022-11-11 18:12:16
2635,081e9c2e49686ef9ee53914dc9caa9f666c90e19,2022-11-11 18:18:19
2707,1e8b87e245ae92a99619680e69c39ac4075d247c,2022-11-11 18:24:23
2779,981b4cbc755b43feac55c6bc5d74f0ee86c3d06b,2022-11-11 18:30:22
2850,e5d8cb5d76ee0001b2dcb65e11a2e9b9ab9485b2,2022-11-11 18:36:30
2923,94274770a790964c45a9e8665af212815a16dc5c,2022-11-11 18:42:34
2995,b548e9a9ac23c0917610fd4d679a524ce4d5e8b8,2022-11-11 18:44:10
3014,963b4e660830f450a4a005ce04cfbd00cdf46af4,2022-11-11 18:48:38
3067,148dd85e877480017aa00dc21984890f765d66e3,2022-11-11 18:48:48
3069,e13c9988ee1782e7ecd32b65598f8a46a0283d30,2022-11-11 19:16:20
3396,ab6e716b328a5bae1aaabff0031bece9beb8d78d,2022-11-11 19:31:39
3578,93f19717ca2b645b82ca8f820b7e50c3a9fb5536,2022-11-11 20:07:04
3999,29f64b99c462e0b3831a46488759085b01641e48,2022-11-11 21:09:10
4737,6794681d001d6f71d531b5bfd497922e3c35dafe,2022-11-11 21:12:12
4773,bf46eb0fbcdbb61edb5f4e9f3b7ff3b5ca0d2959,2022-11-11 21:15:14
4809,bfab2282fe21472bbde0de18aa076626e638820d,2022-11-11 21:18:15
4845,4d042d676b5181fbabb9effa9b9868e3c12f0e6f,2022-11-11 21:24:19
4917,dd3684a849c58c6718320a7ad3ab5fbdc9fa85fe,2022-11-11 21:27:21
4953,be680015e13de0e80fff3a711c6431a91a3e4523,2022-11-11 21:30:18
4988,ac22a84ddd821f1a190d32c06ef548aa6880207b,2022-11-11 21:33:20
5024,7bc35c4d15649361c9201f5bdd941571f13865d3,2022-11-11 21:36:22
5060,ad6e999f49c8409a52ff818ce7aea7b07e69a2bc,2022-11-11 21:39:23
5096,38dcad8512abe01f2e57b91d2b492f7541f0db12,2022-11-11 21:42:25
5132,c95d53bc43c63483c0dc6c5f67e8b47f72ff45d3,2022-11-11 21:42:30
5133,356604103fb8fc075cec40c241850d9533401e15,2022-11-11 21:48:28
5204,4fb2f0707ddc21be5c810b5cba246d8e1016f695,2022-11-11 21:49:14
5213,cfd7eca8c83e837cd4bf8d3e1c26c606b2252d6a,2022-11-11 21:51:35
5241,2b3b7d1440d2b4caa6e95bf83cd0996630844a2e,2022-11-11 21:54:37
5277,d2c594f8da75d3ea2d48f2603f9fec2f67258057,2022-11-11 21:57:38
5313,29ed6fd531c6f696f4d6fdd9f5c3ab08ff12f275,2022-11-11 22:00:40
5349,ba600bf9dac6e6a800e15115ead52143bb44c3f7,2022-11-11 22:06:39
5420,9e91419b567d2d7c554cb1ea7a039bae4fda064f,2022-11-11 22:09:40
5456,295fac583e12f2821ef53d75569702fd9c1cf330,2022-11-11 22:12:42
5492,069414f117c81042b4243ae5c0c8d221929f38a6,2022-11-11 22:15:44
5528,d67ee80734fee41ff35079f9ca96e18e0cc843f4,2022-11-11 22:21:42
5599,e95721164db0cfeb757f7642fca5f5d1f82acc5e,2022-11-11 22:24:44
5635,3358f20a02f3f5600c5921fdace6a9d4fffd8f76,2022-11-11 22:27:46
5671,65085ae99ce805f9294347689fc3f868cd7c2c05,2022-11-11 22:30:52
5708,e2d6bef3e771fef20f8b90b54228a7e83ea07931,2022-11-11 22:33:54
5744,2174e40dc0c0fcdcbc549ffd82e17d974de3623e,2022-11-11 22:36:56
5780,29e8de295a237bf0c66854a0b198fd6630af1046,2022-11-11 22:39:57
5816,2764e046832b503dbff8cb5cd45ed70f020ed2e6,2022-11-11 22:45:55
5887,87a7748498a259c17fbf59a25369674686c443be,2022-11-11 22:48:57
5923,48c59380e4f183408d4372cc24d58f5ecd29a0f7,2022-11-11 22:51:59
5959,76d2b40de7dadf4bb5121f065487e31fde02bf70,2022-11-11 22:55:00
5995,5cf025c5f2183147f46137379591435779df7912,2022-11-11 22:58:02
6031,a789625d274a11c113c4e6d137e98a4ce1395051,2022-11-11 23:01:14
6069,cf40b2c53dd96745f84945f54f48e42df3832439,2022-11-11 23:18:48
6278,cdfefc6550fbd6c10406a3b353459eda0d789278,2022-11-11 23:33:52
6457,bf45fb20f681483f062d0571da691d358580d1f7,2022-11-11 23:58:50
6754,cb057255f43c040898a6976039e815f4abc71def,2022-11-12 01:10:53
7611,4dbf5936b90d045bda54771df7e1b9cc0a5b0cd9,2022-11-12 02:26:15
8507,1cacc235e6fff95d3b72fa6f841c6493ec22c4f6,2022-11-12 02:38:03
8647,83221b9039800997652e48f746f9275e19c94fdc,2022-11-12 02:45:57
8741,c6ccfb78e1d67715f39753067950f9af0cc0e262,2022-11-12 02:53:46
8834,3e57980bca16501b55914d18b753cb881823163e,2022-11-12 02:56:48
8870,14245207ab5a8e7704b41035152e9879203b5d5c,2022-11-12 02:59:50
8906,322a90ae9420dbd2c17a153517a9e808c60268de,2022-11-12 03:05:53
8978,2322a7fbf0213e27746deb0a142c65a089b7959e,2022-11-12 03:08:50
9013,ac27bc0c69e25b3890928ff6da68928209068d19,2022-11-12 03:08:55
9014,6ed56d5291afa0f82041d1602d6e0039b6d0a61b,2022-11-12 03:12:02
