height,valset,timestamp
169930,85b8e452c959d718f4f281c290553ee25b17fd3f,2022-11-18 10:17:53
169955,3e46372cd2b1803a12a50464c99b4a67ad17fb1f,2022-11-18 10:20:54
169991,05524764186274523f582c1e6b205601d83ac040,2022-11-18 10:23:56
170027,59bb9cc61d282ade00094dd08dfb0fad11392e04,2022-11-18 10:29:59
170099,dfa7a57f21f2ef1e7320c0532f6c536b781ed5b0,2022-11-18 10:33:00
170135,1bde9fdfa0ad7ec25fb81e301fa3b6ba433fd8e9,2022-11-18 10:36:02
170171,65a8034ba88191a389a9b6db4f6ee42dea999695,2022-11-18 10:39:04
170207,9fd3eb8968d28da9d29005ea5157c97fd620c5aa,2022-11-18 10:42:05
170243,8ccdcbb1485f1ff77b34c862a4b199c4a2052a7c,2022-11-18 10:48:08
170315,821e06b394659c8725f5ec5c433dac63905a6908,2022-11-18 10:51:10
170351,cf3594c628486785dc699cb02622fb70ad448630,2022-11-18 10:52:25
170366,f8c78e132ecb68d86e256950fd554164cb0a9a7f,2022-11-18 10:54:11
170387,496759cacbe0dbad9a83128fa1b015c862851326,2022-11-18 10:57:13
170423,62892adcd6d848075d35ef0c153e41787a46c05e,2022-11-18 11:00:14
170459,773fc5079c5a47ba6f3059120f1eca8915a2f093,2022-11-18 11:06:20
170526,d28061c3a00506d819eb024bfeb2d947c0a3c44c,2022-11-18 11:09:19
170558,5ee773f2ff3c2d6dbeff773fc690e67496fca69e,2022-11-18 11:12:24
170594,a831171303b7c5041988dbbe6b4f12eb7a535bda,2022-11-18 11:15:21
170629,e2943d1bc3cb83937e806b9cacc44fd062d02ebf,2022-11-18 11:18:23
170665,a1d2157550fa51957cf77cdb6ef59544e91910c3,2022-11-18 11:24:27
170737,49f12d645271a6aecc6084fff451dd0988781837,2022-11-18 11:27:28
170773,8bec27d42b9d309deb6afb3207168f689d94e729,2022-11-18 11:30:30
170809,761226b9c4fbfe28527e9cbfe46d2f5ef448c086,2022-11-18 11:33:32
170845,bb993b9b9bdc0ff53be7b2419793e0e63ed475d0,2022-11-18 11:36:28
170881,51411c7c80598e91cbe63944db258b8898557f00,2022-11-18 11:42:37
170953,7a43e61f2e7a578c2c322e44b4cc2e72b7837c33,2022-11-18 11:45:39
170989,b6af47693f929d4f5559d338120477439b39f103,2022-11-18 11:48:05
171018,4e434edb6e09b1fcca3bf50150eede61e361c00f,2022-11-18 11:48:40
171025,ef9a99584acbb0d592db41bbc30c0812127eb92d,2022-11-18 11:51:42
171061,e3cce92cb21a05aaba8d83a42a33b270312568c7,2022-11-18 11:53:58
171088,1ae5a52a56fdfbca0f8a8fa9c2e77a92b281ad78,2022-11-18 11:54:44
171097,c75fd6a440712d1cbc44762447c802c1ecef8dd5,2022-11-18 12:00:47
171169,591edef82308afc4b07981ddec668ddaeae56726,2022-11-18 12:03:49
171205,ba895752990d29ac20183c892b0fc95cb1fe1e8b,2022-11-18 12:06:51
171241,90012cb433b88c7fbe3f3b238fb539e8bb6db103,2022-11-18 12:09:53
171277,ad4a2f64b335ce0350640ba5b967d1589e71b5d0,2022-11-18 12:11:49
171300,428f075e96668842b24eb93d765363e48d20621a,2022-11-18 12:12:54
171313,1c319931a2cac39f0d9a4f4384c1293a84d7fbfd,2022-11-18 12:15:56
171349,f8bae3504cbe7d0bbe28bb1448d98a2d919ea03b,2022-11-18 12:21:59
171421,91082c6af6cc5fcdfacbd0171d818a537c31169e,2022-11-18 12:25:01
171457,4a6c8c22d90bf2b48d3e2c5378126128d1aead1b,2022-11-18 12:28:02
171493,d70f773f995077ccda42d3f6b952b53029e2cb87,2022-11-18 12:31:04
171529,862766cb3203a5a9658a7cc4075fa7ee7dfe7922,2022-11-18 12:34:06
171565,53953433c99fae3a7527d1e953313aa94a4f19bd,2022-11-18 12:40:04
171636,5be43dd16562a46cdbf4e21d5b2788dd04ae29f7,2022-11-18 12:43:06
171672,f72b3b90b1a78e4b3120b9ef086f60a289ead9de,2022-11-18 12:46:08
